row,uchastok,category,name,type,status,status_fill,executor,cost_mln,remarks_rsk
44,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,ОПв10-12,фм,согласовано к подписанию,FFFFC000,Денисов М.,4.63,
46,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,"ОПн118-120.1, 123, 124, 153",фм,,,Денисов М.,1.94,151-отклон. В констр.армиров.;375-ж/б пов-ть
48,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,ОПв13-15,фм,согласовано к подписанию,FFFFC000,Денисов М.,5.34,210-откл.пла-выс.отметок
50,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,ОПн125 - ОПН143,рсм,,,Мирошник Т.,1.14,375-ж/б пов-ть;194-ж/б пов-ти;375-ж/б пов-ть
52,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,Н19-22,фм,,,Ефремов А.,10.8,213-ж/б пов-та;228-обр.засыпка
54,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,"ОПв15.1, 15.2, 16-18",рсм,,,Денисов М.,1.65,214-отклон. В полож.свай
56,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,ОПв19-24,фм,согласовано к подписанию,FFFFC000,Мирошник Т.,8.87,
58,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,Н23-35,фм,,,Черемных А.,13.12,164-отклон. В шаге армир.
60,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,"ОПн54-166, 253.3",фм,,,Мирошник Т.,3.96,375-ж/б пов-ть
62,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,"ОПн167-186, 188-190, 197,198, 200-226",рсм,,,Дудник Д.,1.62,52+60+66-ж/б пов-ти;129-неплотн.прилег.;116-неплотн.прилег.;161-неплотн.прилег.
65,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,КД-1,,,,Денисов М.,0.19,
67,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,КД-2,,,,Денисов М.,0.19,
69,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,КД-3,,,,Денисов М.,0.13,
71,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,УТ-1+полы,,,,Ефремов А.,1.36,"255-констр.подбетонки;285-смещ.ФМ1, ФМ1.1, ФМ2;380-материал изол.цоколя"
73,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,КД-4,,,,Денисов М.,0.27,
75,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,КД-5,,,,Денисов М.,0.13,
77,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,УТ-1.1+полы,,,,Ефремов А.,1.36,176-констр.подбетонки;383-деформ. Основания и подбетонки
79,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,КД-6.1,,,,Денисов М.,0.27,
81,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,КД-7,,,,Денисов М.,0.13,
83,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,КД-8,,,,Денисов М.,0.13,
85,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,КД-8.1,,,,Денисов М.,0.19,
87,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,КД-12,,,,Денисов М.,0.19,
89,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,УТ-2+полы,,,,Ефремов А.,1.36,176-констр.подбетонки;268-отв.под болты;373-наруш.заземл.;374-наруш . При нанес. Огнезащиты
91,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,КД13,,,,Денисов М.,0.27,
93,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,УТ-2.1+полы,,,,Ефремов А.,1.36,176-констр.подбетонки;186-полож.болтов;282-трещ.в ФМ2;283-размеры приямка
95,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,КД13.1,,,,Денисов М.,0.27,
97,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,УТ-2.2,,,,Ефремов А.,4.65,
100,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Трубопровод,ОПв1-Н8,,,,Перфилов А.,441.51,
105,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,ОПв1.1-Н8,Н8-Н19,,КЭВ,FF3C1FCF,Перфилов А.,400.85,74-сварочнвая докум.;302-косые стыки
107,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,ОПв1.1-Н8,Н19-УТ2,,КЭВ,FF3C1FCF,Перфилов А.,366.5,300-косой стык
109,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,ОПв1.1-Н8,УТ2-УТ2.2,,,,Перфилов А.,454.3,120-сварочная докум.
113,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Н34-УТ2.2,Прочие работы в рамках участка,,,,Денисов М./Перфилов А.,265.2,42-пробные сваи
115,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Н34-УТ2.2,Обвязка камер,,нет,,Байпасы КРВ,0,
116,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Н34-УТ2.2,УТ-1,,,,Перфилов А.,5.73,
118,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Н34-УТ2.2,УТ-1.1,,,,Перфилов А.,5.73,
120,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Н34-УТ2.2,УТ-2,,,,Перфилов А.,5.73,
122,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Н34-УТ2.2,УТ-2.1,,,,Перфилов А.,5.73,
124,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Н34-УТ2.2,УТ-2.2,,,,Перфилов А.,5.73,
126,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Н34-УТ2.2,Обратная засыпка с планировкой территории,,нет,,,22.33,
130,График сдачи ИД на участке №2 от УТ2.2 до УТ4,Камеры,КР1,,,,Болтик В.,5.54,318-повр.защ.изол.
132,График сдачи ИД на участке №2 от УТ2.2 до УТ4,Камеры,УТ-3,,,,Болтик В.,9.04,318-повр.защ.изол.;348-измен.плиты покрытия;381-протечка воды
134,График сдачи ИД на участке №2 от УТ2.2 до УТ4,Камеры,КД 14,,,,Болтик В.,0.32,
136,График сдачи ИД на участке №2 от УТ2.2 до УТ4,Камеры,КМ3,Н,,,Болтик В.,5.7,262-соглас.ХабУпрАвтодор
138,График сдачи ИД на участке №2 от УТ2.2 до УТ4,Камеры,КР2,,,,Болтик В.,7.07,"262- нет соглас.ХабУпрАвтодора;261-шаг армиров.;314-недост.зазор при выходе т1, Т2"
140,График сдачи ИД на участке №2 от УТ2.2 до УТ4,Камеры,КД15,,,,Болтик В.,0.4,
142,График сдачи ИД на участке №2 от УТ2.2 до УТ4,Камеры,УТ4,Н,,,Болтик В.,18.46,210+316-откл.план-выс.отметок;318-повр.защ.изол.;141-оклон. В шаге армиров.
145,График сдачи ИД на участке №2 от УТ2.2 до УТ4,Трубопровод,"УТ2.2-КР1, УТ3-КМ3, КР2-УТ4",,КЭВ,FF3C1FCF,Перфилов А.,208.28,74-сварочнвая докум.;188-утв.ПМИ;220-ЖСР
147,График сдачи ИД на участке №2 от УТ2.2 до УТ4,Трубопровод,КР1-УТ3,,КЭВ,FF3C1FCF,Перфилов А.,12.27,
149,График сдачи ИД на участке №2 от УТ2.2 до УТ4,Трубопровод,КМ3-КР2,,КЭВ,FF3C1FCF,Перфилов А.,25.85,
151,График сдачи ИД на участке №2 от УТ2.2 до УТ4,Трубопровод,Прочие работы в рамках участка,,,,Денисов М./Перфилов А.,39.29,353-наруш.входа футляра в лоток
154,График сдачи ИД на участке №2 от УТ2.2 до УТ4,Обвязка камер,КР1,,,,Перфилов А.,5.73,
156,График сдачи ИД на участке №2 от УТ2.2 до УТ4,Обвязка камер,УТ-3,Н,,,Перфилов А.,5.73,
158,График сдачи ИД на участке №2 от УТ2.2 до УТ4,Обвязка камер,КМ3,,,,Перфилов А.,5.73,
160,График сдачи ИД на участке №2 от УТ2.2 до УТ4,Обвязка камер,КР2,,,,Перфилов А.,5.73,
162,График сдачи ИД на участке №2 от УТ2.2 до УТ4,Обвязка камер,УТ4,Н,,,Перфилов А.,5.73,
164,График сдачи ИД на участке №2 от УТ2.2 до УТ4,Обвязка камер,Обратная засыпка с планировкой территории,,в работе,,,2.5,
168,График сдачи ИД на участке №3 от УТ4 до КМ5,Опоры,Н57,фм,,,Денисов,0.67,
170,График сдачи ИД на участке №3 от УТ4 до КМ5,Опоры,ОПн254-273.1,фм,,,Мирошник Т.,6.43,225-расхожд.план-высот.отметок
172,График сдачи ИД на участке №3 от УТ4 до КМ5,Опоры,"Н70, 71, 76",фм,,,Мирошник Т.,2.65,225-расхожд.план-высот.отметок
174,График сдачи ИД на участке №3 от УТ4 до КМ5,Опоры,"Н72, Н77",фм,,,Ефремов А.,2,
176,График сдачи ИД на участке №3 от УТ4 до КМ5,Опоры,ОПн274-299,фм,,,Мирошник Т.,6.72,
178,График сдачи ИД на участке №3 от УТ4 до КМ5,Опоры,Н73-75,фм,,,Ефремов А.,2.61,
180,График сдачи ИД на участке №3 от УТ4 до КМ5,Опоры,ОПн300-304,фм,,,Мирошник Т.,1.76,
182,График сдачи ИД на участке №3 от УТ4 до КМ5,Опоры,"ОПв24.1, 25, 26",фм,,,Мирошник Т.,7.98,
185,График сдачи ИД на участке №3 от УТ4 до КМ5,Камеры,УТ10,,Подписано 80%,FF92D050,Болтик В.,6.46,210-откл.план-выс.отметок;316-откл.план-выс.отметок;377-кирп.кладка вент.шахт
187,График сдачи ИД на участке №3 от УТ4 до КМ5,Камеры,УТ11,Н,Подписано 85%,FF92D050,Болтик В.,7.57,196-отклон.в армиров.;316-откл.план-выс.отметок
189,График сдачи ИД на участке №3 от УТ4 до КМ5,Камеры,КД19,,,,Болтик В.,0.28,
191,График сдачи ИД на участке №3 от УТ4 до КМ5,Камеры,УТ12,Н,Подписано 90%,FF92D050,Болтик В.,7.47,316-откл.план-выс.отметок;328-поврежд.внутр.изол.
193,График сдачи ИД на участке №3 от УТ4 до КМ5,Камеры,УТ13,Н,Подписано 90%,FF92D050,Болтик В.,7.49,
195,График сдачи ИД на участке №3 от УТ4 до КМ5,Камеры,КД20,,,,Болтик В.,0.33,
197,График сдачи ИД на участке №3 от УТ4 до КМ5,Камеры,СК-1,,,,Денисов М.,0.24,
199,График сдачи ИД на участке №3 от УТ4 до КМ5,Камеры,КР2.1,Н,,,Болтик В.,6.05,184-крепл.откосов котлов.;335-затопление;275-откл.в армиров.
201,График сдачи ИД на участке №3 от УТ4 до КМ5,Камеры,КМ4,,,,Болтик В.,5.38,184-крепл.откосов котлов.
203,График сдачи ИД на участке №3 от УТ4 до КМ5,Камеры,УТ15,,Подписано 85%,FF92D050,Болтик В.,7.19,
205,График сдачи ИД на участке №3 от УТ4 до КМ5,Камеры,КД22,,,,Болтик В.,0.27,
207,График сдачи ИД на участке №3 от УТ4 до КМ5,Камеры,УТ15.1,,Подписано до плит пекрытия,FF92D050,Болтик В.,4.97,110-отклон.при армиров.;362-армир.плиты покрытия
209,График сдачи ИД на участке №3 от УТ4 до КМ5,Камеры,УТ15.2,,Подписано до плит пекрытия,FF92D050,Болтик В.,5.32,361-армир.плиты покрытия
211,График сдачи ИД на участке №3 от УТ4 до КМ5,Камеры,КДР12,,,,Денисов М.,0.19,
213,График сдачи ИД на участке №3 от УТ4 до КМ5,Камеры,КР3,Н,,,Болтик В.,5.9,347-отклон.план-выс.отметок
215,График сдачи ИД на участке №3 от УТ4 до КМ5,Камеры,УТ16,Н,Подписано 85%,FF92D050,Болтик В.,6.58,347-отклон.план-выс.отметок;325-оклеечн.изоляция
217,График сдачи ИД на участке №3 от УТ4 до КМ5,Камеры,КМ5,,,,Болтик В.,5.55,365-обр. засыпка;377-кирп.кладка вент.шахт
220,График сдачи ИД на участке №3 от УТ4 до КМ5,Трубопровод,"УТ12-КМ4, УТ15-УТ15.1",,КЭВ,FF3C1FCF,Перфилов А.,439.88,
222,График сдачи ИД на участке №3 от УТ4 до КМ5,УТ4-УТ12,КР2.1-КМ4,,КЭВ,FF3C1FCF,Перфилов А.,,
224,График сдачи ИД на участке №3 от УТ4 до КМ5,УТ4-УТ12,КМ4-УТ15,,КРВ,theme6,Перфилов А.,77.56,84-ЖСР
226,График сдачи ИД на участке №3 от УТ4 до КМ5,УТ4-УТ12,УТ15.1-УТ15.2,,,,Перфилов А.,120.5,181-косые стыки;182-косые стыки;153-косые стыки;183-нет прилег.к ОПн288
230,График сдачи ИД на участке №3 от УТ4 до КМ5,Н76-УТ15.2,УТ15.2-КМ5,,КЭВ,FF3C1FCF,Перфилов А.,65.04,
231,График сдачи ИД на участке №3 от УТ4 до КМ5,Н76-УТ15.2,УТ15.2-КР3,,КЭВ,FF3C1FCF,Перфилов А.,,
232,График сдачи ИД на участке №3 от УТ4 до КМ5,Н76-УТ15.2,КР3-УТ16,,КЭВ,FF3C1FCF,Перфилов А.,,
233,График сдачи ИД на участке №3 от УТ4 до КМ5,Н76-УТ15.2,УТ16-КМ5,,КЭВ,FF3C1FCF,Перфилов А.,,
235,График сдачи ИД на участке №3 от УТ4 до КМ5,Н76-УТ15.2,Прочие работы в рамках участка,,,,Денисов М./Перфилов А.,112.1,
238,График сдачи ИД на участке №3 от УТ4 до КМ5,Обвязка камер,УТ10,,,,Перфилов А.,5.73,
240,График сдачи ИД на участке №3 от УТ4 до КМ5,Обвязка камер,УТ11,Н,,,Перфилов А.,5.73,
242,График сдачи ИД на участке №3 от УТ4 до КМ5,Обвязка камер,УТ12,Н,,,Перфилов А.,5.73,
244,График сдачи ИД на участке №3 от УТ4 до КМ5,Обвязка камер,УТ13,Н,,,Перфилов А.,5.73,
246,График сдачи ИД на участке №3 от УТ4 до КМ5,Обвязка камер,КР2.1,Н,,,Перфилов А.,5.73,
248,График сдачи ИД на участке №3 от УТ4 до КМ5,Обвязка камер,КМ4,,,,Перфилов А.,5.73,
250,График сдачи ИД на участке №3 от УТ4 до КМ5,Обвязка камер,УТ15,,,,Перфилов А.,5.73,
252,График сдачи ИД на участке №3 от УТ4 до КМ5,Обвязка камер,УТ15.1,,,,Перфилов А.,5.73,
254,График сдачи ИД на участке №3 от УТ4 до КМ5,Обвязка камер,УТ15.2,,,,Перфилов А.,5.73,
256,График сдачи ИД на участке №3 от УТ4 до КМ5,Обвязка камер,КР3,Н,,,Перфилов А.,5.73,
258,График сдачи ИД на участке №3 от УТ4 до КМ5,Обвязка камер,УТ16,Н,,,Перфилов А.,5.73,
260,График сдачи ИД на участке №3 от УТ4 до КМ5,Обвязка камер,КМ5,,,,Перфилов А.,5.73,
262,График сдачи ИД на участке №3 от УТ4 до КМ5,Обвязка камер,Обратная засыпка с планировкой территории,,нет,,,19.22,
266,График сдачи ИД на участке №4 от УТ4 до УТ9,Опоры/лотки,УТ4-УТ7,,,,Денисов М.,49.36,
268,График сдачи ИД на участке №4 от УТ4 до УТ9,Опоры/лотки,УТ7-УТ9,,,,Денисов М.,27.86,227-обр.засыпка
271,График сдачи ИД на участке №4 от УТ4 до УТ9,Камеры,УТ5,,Подписано 85%,FF92D050,Болтик В.,6.47,210-откл.план-выс.отметок;316-откл.план-выс.отметок
273,График сдачи ИД на участке №4 от УТ4 до УТ9,Камеры,УТ6,,Подписано 70%,FF92D050,Болтик В.,6.5,316-откл.план-выс.отметок;48-врем. Здан. и сооруж
275,График сдачи ИД на участке №4 от УТ4 до УТ9,Камеры,КД16,,,,Болтик В.,0.24,
277,График сдачи ИД на участке №4 от УТ4 до УТ9,Камеры,УТ7,,Подписано 80%,FF92D050,Болтик В.,6.46,316-откл.план-выс.отметок;299-гермет.узла прохода
279,График сдачи ИД на участке №4 от УТ4 до УТ9,Камеры,КД16.1,,,,Болтик В.,0.29,
281,График сдачи ИД на участке №4 от УТ4 до УТ9,Камеры,УТ8,,Подписано 10%,FF92D050,Болтик В.,6.47,316-откл.план-выс.отметок;299-гермет.узла прохода
283,График сдачи ИД на участке №4 от УТ4 до УТ9,Камеры,КД18,,,,Болтик В.,0.28,
285,График сдачи ИД на участке №4 от УТ4 до УТ9,Камеры,УТ9,,Подписано 80%,FF92D050,Болтик В.,6.49,316-откл.план-выс.отметок;299-гермет.узла прохода
288,График сдачи ИД на участке №4 от УТ4 до УТ9,Трубопровод,УТ4-УТ7,,КЭВ,FF3C1FCF,Перфилов А.,190.14,120-сварочная докум.;259-оклон.в шаге армир.УМ2-1;280-предост. Утв.ПМИ
290,График сдачи ИД на участке №4 от УТ4 до УТ9,Трубопровод,УТ7-УТ9,,КЭВ,FF3C1FCF,Перфилов А.,167.35,120-сварочная докум.
292,График сдачи ИД на участке №4 от УТ4 до УТ9,Трубопровод,Прочие работы в рамках участка,,,,Денисов М./Перфилов А.,57.01,
295,График сдачи ИД на участке №4 от УТ4 до УТ9,Обвязка камер,УТ5,,,,Перфилов А.,5.73,
297,График сдачи ИД на участке №4 от УТ4 до УТ9,Обвязка камер,УТ6,,,,Перфилов А.,5.73,
299,График сдачи ИД на участке №4 от УТ4 до УТ9,Обвязка камер,УТ7,,,,Перфилов А.,5.73,336-косые стыки
301,График сдачи ИД на участке №4 от УТ4 до УТ9,Обвязка камер,УТ8,,,,Перфилов А.,5.73,304-стыки байпасов;306-заглушки
303,График сдачи ИД на участке №4 от УТ4 до УТ9,Обвязка камер,УТ9,,,,Перфилов А.,5.73,304-стыки байпасов;306-заглушки
305,График сдачи ИД на участке №4 от УТ4 до УТ9,Обвязка камер,Обратная засыпка с планировкой территории (земляные работы),,в работе,,Болтик В.,4.85,
